"deviceWidth","deviceHeight","touchX","touchY"
"","","",""
"320","50","0.9437","0.2400"
"320","50","0.8458","0.4667"
"320","50","0.6529","0.1730"
"320","50","0.4344","0.9000"
"320","50","0.0281","0.1000"
"320","50","0.2625","0.9200"
"320","50","0.1313","0.5200"
"320","50","0.6809","0.0468"
"320","50","0.9521","0.3667"
"320","50","0.7458","0.6667"
"320","50","0.7656","0.6200"
"320","51","0.4969","0.8824"
"320","50","0.9074","0.6219"
"320","50","0.9127","0.1137"
"320","50","0.9688","0.8000"
"320","50","0.7674","0.4971"
"320","50","0.6112","0.5883"
"320","50","0.5188","0.1000"
"320","50","0.5156","0.0800"
"320","50","0.3588","0.6909"
"320","50","0.4094","0.3400"
"","","",""
"320","50","0.8798","0.4974"
"320","49","0.9594","0.8163"
"320","50","0.8875","0.9000"
"","","",""
"320","50","0.8516","0.1500"
"320","50","0.0906","0.0000"
"","","",""
"320","50","0.9417","0.3333"
"320","50","0.9187","0.2600"
"320","50","0.7625","0.0000"
"320","50","0.5031","0.4200"
"320","50","0.1344","0.7600"
"320","50","0.7625","0.6000"
"","","",""
"320","50","0.4292","0.1733"
"320","50","0.8794","0.0811"
"320","50","0.9156","0.3400"
"320","50","0.7844","0.3800"
"320","50","0.9500","0.9600"
"320","50","0.8042","0.9733"
"320","50","0.8833","0.5764"
"","","",""
"320","50","0.9148","0.0214"
"320","51","0.2500","0.7059"
"320","50","0.0058","0.2682"
"","","",""
"320","50","0.9660","0.3295"
"320","50","0.7562","0.7200"
"","","",""
"320","50","0.4116","0.3208"
"320","50","0.1918","0.5828"
"320","50","0.3438","0.5000"
"320","50","0.1778","0.9275"
"320","50","0.6188","0.7800"
"320","50","0.0187","0.8200"
"","","",""
"","","",""
"320","50","0.4938","0.7200"
"","","",""
"320","50","0.5538","0.2313"
"320","50","0.3384","0.7204"
"","","",""
"320","50","0.8719","0.8600"
"320","50","0.9580","0.1646"
"","","",""
"","","",""
"320","50","0.8885","0.4933"
"320","50","0.8500","0.2800"
"","","",""
"320","50","0.8234","0.6900"
"320","50","0.4094","0.4200"
"320","50","0.8313","0.6400"
"","","",""
"320","50","0.9250","0.2400"
"","","",""
"320","50","0.5385","0.2817"
"","","",""
"320","50","0.8674","0.8536"
"320","50","0.5563","0.0200"
"320","50","0.4688","0.0800"
"","","",""
"","","",""
"360","640","0.9611","0.9969"
"","","",""
"320","50","0.1731","0.9208"
"320","50","0.6312","0.0000"
"320","50","0.8677","0.0894"
"320","50","0.6994","0.2366"
"","","",""
"","","",""
"","","",""
"320","50","0.5271","0.1333"
"600","74","0.0267","0.0946"
"320","50","0.3063","0.8000"
"","","",""
"320","50","0.0906","0.6000"
"320","50","0.4532","0.4007"
"","","",""
"320","50","0.3909","0.4285"
"320","50","0.9781","0.2400"
"320","50","0.9187","0.1000"
"320","50","0.0623","0.4212"
"320","50","0.9897","0.3750"
"320","50","0.5757","0.2006"
"320","50","0.9391","0.5900"
"320","50","0.7562","0.0600"
"320","50","0.3203","0.3700"
"320","50","0.2656","0.3400"
"320","50","0.4844","0.0000"
"320","50","0.4437","0.3600"
"320","50","0.2720","0.6034"
"320","50","0.9193","0.9900"
"320","50","0.6125","0.7000"
"320","50","0.9437","0.0800"
"320","50","0.4844","0.6400"
"320","50","0.9437","0.0000"
"320","50","0.7134","0.6863"
"320","50","0.2090","0.2114"
"320","50","0.3781","0.5800"
"","","",""
"320","50","0.1887","0.9400"
"320","50","0.7099","0.4781"
"320","50","0.1094","0.6800"
"320","50","0.1205","0.3507"
"320","50","0.8875","0.3600"
"320","50","0.4656","0.6400"
"320","50","0.1484","0.8100"
"320","50","0.5885","0.0133"
"320","50","0.0187","0.1200"
"","","",""
"320","50","0.4115","0.8784"
"320","50","0.2094","0.6000"
"320","50","0.7875","0.9600"
"320","50","0.5938","0.6400"
"320","50","0.8406","0.9200"
"320","50","0.9313","0.3800"
"320","50","0.5593","0.7070"
"320","50","0.7536","0.7609"
"320","50","0.9750","0.4800"
"320","50","0.9734","0.5900"
"320","50","0.4125","0.8800"
"320","50","0.4906","0.0600"
"320","50","0.3096","0.8782"
"320","50","0.9281","0.0000"
"320","50","0.1878","0.1582"
"","","",""
"","","",""
"320","50","0.8812","0.3600"
"320","50","0.0281","0.4000"
"","","",""
"320","50","0.6156","0.3600"
"320","50","0.5813","0.8000"
"320","51","0.1719","0.0588"
"320","51","0.0313","0.0980"
"320","50","0.6594","0.2200"
"320","50","0.5500","0.6200"
"320","50","0.6031","0.9400"
"","","",""
"","","",""
"320","50","0.3219","0.9400"
"320","50","0.5563","0.3800"
"320","50","0.8750","0.0400"
"320","50","0.0725","0.9069"
"320","50","0.8812","0.0400"
"320","50","0.8755","0.7190"
"320","50","0.3667","0.5267"
"","","",""
"320","50","0.6813","0.3800"
"320","50","0.5875","0.0600"
"320","50","0.8875","0.3600"
"320","51","0.2687","0.3922"
"320","51","0.3344","0.7843"
"320","50","0.4681","0.0200"
"320","50","0.2401","0.2821"
"","","",""
"320","50","0.8812","0.4800"
"320","50","0.9063","0.5800"
"320","50","0.6320","0.3874"
"320","50","0.2636","0.2106"
"320","50","0.6355","0.3856"
"320","50","0.8384","0.9900"
"320","50","0.9500","0.2000"
"320","50","0.7362","0.3459"
"320","50","0.9006","0.0892"
"320","50","0.1390","0.4174"
"","","",""
"","","",""
"320","50","0.2152","0.9800"
"320","50","0.6365","0.7627"
"320","50","0.1906","0.6400"
"320","50","0.8923","0.8784"
"320","50","0.3891","0.0599"
"320","50","0.8792","0.4013"
"320","50","0.8656","0.9400"
"320","50","0.0576","0.0715"
"320","50","0.2562","0.5000"
"320","50","0.8109","0.8700"
"","","",""
"320","50","0.4656","0.4600"
"","","",""
"","","",""
"320","50","0.4493","0.1614"
"320","50","0.6438","0.3200"
"320","50","0.3438","0.5200"
"320","50","0.1812","0.1600"
"","","",""
"","","",""
"320","50","0.5553","0.1456"
"320","50","0.9167","0.4933"
"","","",""
"320","51","0.8906","0.8039"
"320","50","0.3000","0.7600"
"320","50","0.9047","0.6900"
"320","50","0.1719","0.2000"
"320","50","0.3438","0.8400"
"320","50","0.7219","0.1600"
"","","",""
"320","50","0.5469","0.8000"
"320","51","0.4204","0.4415"
"","","",""
"320","50","0.3042","0.2014"
"320","50","0.9250","0.4400"
"320","50","0.8500","0.9800"
"320","50","0.4750","0.4000"
"320","50","0.2058","0.5771"
"320","50","0.9422","0.6500"
"320","50","0.8531","0.7000"
"320","50","0.8288","0.7464"
"320","50","0.9000","0.4000"
"320","50","0.5458","0.0867"
"","","",""
"320","50","0.9403","0.1338"
"320","50","0.0563","0.8400"
"320","50","0.3375","0.6200"
"320","50","0.6240","0.6927"
"","","",""
"320","50","0.5208","0.1067"
"","","",""
"320","50","0.4306","0.1114"
"","","",""
"320","50","0.1119","0.8649"
"320","50","0.3375","0.3000"
"","","",""
"320","50","0.3594","0.4800"
"320","50","0.9063","0.0400"
"","","",""
"320","50","0.9219","0.9800"
"","","",""
"","","",""
"","","",""
"","","",""
"320","50","0.1708","0.6933"
"","","",""
"","","",""
"320","50","0.4458","0.7467"
"320","50","0.7875","0.2800"
"320","50","0.3547","0.4300"
"320","50","0.9125","0.5000"
"320","50","0.9283","0.0598"
"320","50","0.7188","0.1000"
"320","50","0.4696","0.4934"
"320","50","0.9691","0.2900"
"","","",""
"320","50","0.6053","0.0715"
"","","",""
"320","50","0.1035","0.0932"
"320","50","0.9281","0.3200"
"320","50","0.9158","0.1831"
"","","",""
"320","50","0.9458","0.0667"
"320","50","0.4562","0.1200"
"","","",""
"","","",""
"","","",""
"320","50","0.3658","0.8383"
"320","50","0.1824","0.9577"
"320","50","0.4906","0.9734"
"320","50","0.0531","0.5600"
"320","50","0.9219","0.5800"
"320","50","0.5260","0.8649"
"","","",""
"","","",""
"320","50","0.6062","0.0200"
"320","50","0.8050","0.6021"
"","","",""
"320","50","0.5619","0.5669"
"320","50","0.9459","0.3374"
"","","",""
"320","50","0.9156","0.6400"
"320","50","0.2625","0.4600"
"","","",""
"320","50","0.2875","0.5200"
"320","50","0.5530","0.0178"
"320","50","0.5000","0.5400"
"320","50","0.6038","0.5034"
"320","50","0.4938","0.6000"
"320","50","0.9417","0.2933"
"320","51","0.0219","0.3137"
"320","50","0.6000","0.0000"
"320","50","0.0608","0.3712"
"320","50","0.3125","0.6800"
"320","50","0.9332","0.7597"
"320","50","0.3237","0.7887"
"320","50","0.9542","0.3333"
"320","50","0.4594","0.2200"
"320","50","0.1458","0.7867"
"320","50","0.8733","0.2951"
"320","50","0.3417","0.7667"
"320","50","0.9239","0.4308"
"320","50","0.8750","0.9600"
"320","50","0.8731","0.3366"
"320","50","0.5344","0.2600"
"","","",""
"320","50","0.9595","0.4334"
"320","50","0.4587","0.4404"
"320","50","0.1528","0.4412"
"","","",""
"","","",""
"320","50","0.9594","0.1800"
"320","50","0.7489","0.8178"
"","","",""
"320","50","0.6625","0.9000"
"320","50","0.9776","0.0133"
"320","50","0.9375","0.6000"
"320","50","0.5000","0.5400"
"320","50","0.3967","0.7832"
"","","",""
"320","50","0.0250","0.2400"
"320","50","0.9344","0.3400"
"360","640","0.9306","0.0844"
"320","50","0.8208","0.5733"
"","","",""
"320","50","0.4365","0.5630"
"320","51","0.0841","0.5038"
"320","50","0.6156","0.4800"
"320","50","0.4368","0.5111"
"320","50","0.6735","0.5852"
"320","50","0.6710","0.9601"
"","","",""
"320","50","0.7104","0.6667"
"320","50","0.0857","0.8801"
"320","50","0.2917","0.5311"
"","","",""
"320","50","0.8347","0.8801"
"320","50","0.5813","0.0000"
"320","50","0.9458","0.8667"
"320","50","0.7516","0.9100"
"320","50","0.6397","0.8609"
"320","50","0.9594","0.1600"
"320","50","0.8590","0.0798"
"320","50","0.8094","0.3400"
"320","50","0.7281","0.4600"
"","","",""
"320","50","0.5406","0.3000"
"","","",""
"320","50","0.7813","0.1800"
"320","50","0.6958","0.0015"
"320","50","0.3635","0.5429"
"320","50","0.5719","0.0800"
"","","",""
"320","50","0.3719","0.1400"
"","","",""
"","","",""
"320","51","0.6875","0.7059"
"320","50","0.6049","0.3366"
"320","50","0.4992","0.2224"
"320","50","0.9219","0.0000"
"320","50","0.5813","0.3600"
"320","50","0.6531","0.7400"
"320","50","0.8939","0.5497"
"","","",""
"320","50","0.6422","0.8500"
"320","50","0.7317","0.1314"
"","","",""
"","","",""
"320","50","0.3541","0.5211"
