"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","300","250","0.50","0.61"
"1","300","250","0.17","0.99"
"1","300","250","0.12","0.53"
"1","300","250","0.33","0.69"
"1","300","250","0.17","0.01"
"1","300","250","0.01","0.45"
"1","300","250","0.03","0.05"
"1","300","250","0.18","0.58"
"1","300","250","0.18","0.47"
"1","300","250","0.17","0.20"
"1","300","250","0.19","0.27"
"1","300","250","0.30","0.86"
"1","300","250","0.03","0.05"
"1","300","250","0.07","0.20"
"1","300","250","0.84","0.57"
"1","300","250","0.05","0.79"
"1","300","250","0.03","0.05"
"1","300","250","0.01","0.42"
"1","300","250","0.36","0.73"
"1","300","250","0.12","0.47"
"1","300","250","0.33","0.64"
"1","300","250","0.18","0.27"
"1","300","250","0.27","0.85"
"1","300","250","0.12","0.03"
"1","300","250","0.03","0.05"
"1","300","250","0.31","0.80"
"1","300","250","0.07","0.20"
"1","300","250","0.21","0.88"
"1","480","799","1.30","0.90"
"1","300","250","0.24","0.57"
"1","300","250","0.10","0.52"
"1","300","250","0.08","0.33"
"1","300","250","0.03","0.10"
"1","300","250","0.06","0.80"
"1","300","250","0.11","0.68"
"1","300","250","0.16","0.76"
"1","300","250","0.19","0.26"
"1","300","250","0.12","0.58"
"1","300","250","0.24","0.90"
"1","300","250","0.35","0.54"
"1","300","250","0.07","0.20"
"1","300","250","0.01","0.73"
"1","300","250","0.24","0.75"
"1","300","250","0.03","0.05"
"1","300","250","0.32","0.64"
"1","300","250","0.15","0.36"
"1","300","250","0.20","0.78"
"1","300","250","0.35","0.49"
"1","300","250","0.79","0.65"
"1","300","250","0.11","0.26"
"1","300","250","0.18","1.00"
"1","300","250","0.07","0.70"
"1","300","250","0.11","0.95"
"1","300","250","0.03","0.05"
"1","300","250","0.10","0.98"
"1","300","250","0.06","0.40"
"1","300","250","0.01","0.63"
"1","300","250","0.02","0.03"
"1","300","250","0.03","0.05"
"1","300","250","0.06","0.75"
"1","300","250","0.21","0.70"
"1","300","250","0.03","0.06"
"1","300","250","0.07","0.20"
"1","300","250","0.21","0.65"
"1","300","250","0.13","0.20"
"1","300","250","0.33","0.66"
