"touchX","touchY","deviceWidth","deviceHeight"
"0.8733","0.4240","300","250"
"0.0515","0.6225","300","250"
"0.3178","0.9387","300","250"
"0.0167","0.0320","300","250"
"0.4792","0.5866","300","250"
"0.1200","0.9360","300","250"
"0.0354","0.5872","300","250"
"0.6533","0.9040","300","250"
"0.6190","0.5825","300","250"
"0.3333","0.2000","300","250"
"0.0290","0.6103","300","250"
"0.1550","0.4860","300","250"
"0.0233","0.0480","300","250"
"0.0156","0.7587","300","250"
"0.0265","0.4886","300","250"
"0.2860","0.2889","300","250"
"0.0667","0.2000","300","250"
"0.0997","0.5473","300","250"
"0.0333","0.0640","300","250"
"0.1767","0.9240","300","250"
"0.0167","0.0320","300","250"
"0.0250","0.0500","300","250"
"0.3677","0.7664","300","250"
"0.0600","0.6320","300","250"
"0.1280","0.9083","300","250"
"0.5699","0.6512","300","250"
"0.2933","0.2920","300","250"
"0.0282","0.8143","300","250"
"0.5067","0.6960","300","250"
"0.0667","0.2000","300","250"
"0.0667","0.2000","300","250"
"0.0100","0.5280","300","250"
"0.0167","0.0320","300","250"
"0.3377","0.4586","300","250"
"0.1596","0.8263","300","250"
"0.5567","0.8423","300","250"
"0.0481","0.8643","300","250"
"0.0250","0.0500","300","250"
"0.2079","0.7984","300","250"
"0.9702","0.0809","300","250"
"0.0731","0.6665","300","250"
"0.5561","0.9655","300","250"
"0.0767","0.4880","300","250"
"0.3400","0.3360","300","250"
"0.1247","0.5505","300","250"
"0.2264","0.8802","300","250"
"0.0333","0.0640","300","250"
"0.0333","0.0640","300","250"
"0.4010","0.4606","300","250"
"0.2256","0.4013","300","250"
"0.7239","0.2888","300","250"
"0.8471","0.1504","300","250"
"0.0500","0.1000","300","250"
"0.0333","0.0640","300","250"
"0.0809","0.9388","300","250"
"0.0567","0.4320","300","250"
"0.0897","0.7844","300","250"
"0.0250","0.0500","300","250"
"0.0667","0.2000","300","250"
"0.1713","0.2288","300","250"
"0.6333","0.6440","300","250"
"0.4825","0.7704","300","250"
"0.1247","0.6685","300","250"
"0.0714","0.7544","300","250"
"0.5058","0.2908","300","250"
"0.0167","0.0320","300","250"
"0.0667","0.2000","300","250"
"0.1552","0.3371","300","250"
"0.0415","0.3490","300","250"
"0.1200","0.6080","300","250"
"0.1067","0.6120","300","250"
"0.0167","0.0320","300","250"
"0.1183","0.4370","300","250"
"0.0250","0.0500","300","250"
"0.1713","0.5625","300","250"
"0.0250","0.0500","300","250"
"0.1574","0.4993","300","250"
"0.0667","0.2000","300","250"
"0.0333","0.0640","300","250"
"0.2133","0.6240","300","250"
"0.7584","0.3420","300","250"
"0.1946","0.1828","300","250"
"0.2128","0.1477","300","250"
"0.1200","0.2640","300","250"
"0.1833","0.9680","300","250"
"0.2167","0.5200","300","250"
"0.1879","0.7284","300","250"
"0.5133","0.6480","300","250"
"0.0367","0.9440","300","250"
"0.1879","0.3987","300","250"
"0.1267","0.5280","300","250"
"0.2900","0.6800","300","250"
"0.1378","0.1067","300","250"
"0.2300","0.6840","300","250"
"0.0400","0.5800","300","250"
"0.0250","0.0500","300","250"
"0.0111","0.1333","300","250"
